event_code,event_year,session_code,sky,track_codition,humidity,ground_temp,circuit,track_length_m,rider_number,rider_name,team,manufacturer,front_tyre,rear_tyre,lap,lap_time,lap_s,t1_s,t2_s,t3_s,t4_s,speed
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,15,1'32.624,92.624,19.019,26.581,22.576,24.448,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,16,1'32.763,92.763,18.967,26.628,22.692,24.476,326.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,17,1'32.786,92.786,18.911,26.639,22.557,24.679,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,18,1'33.097,93.097,19.012,26.711,22.66,24.714,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,19,1'33.183,93.183,19,26.686,22.755,24.742,319.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,20,1'33.204,93.204,19.059,26.651,22.788,24.706,324.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,21,1'34.087,94.087,19.27,26.923,23.127,24.767,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,22,1'33.539,93.539,19.117,26.844,22.86,24.718,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,23,1'33.690,93.69,19.101,26.843,22.899,24.847,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,24,1'33.815,93.815,19.144,26.953,22.913,24.805,317.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,25,1'34.077,94.077,19.159,26.998,23.008,24.912,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,7,Toprak RAZGATLIOGLU,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,26,1'34.267,94.267,19.225,27.038,22.953,25.051,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,1,1'35.716,95.716,21.222,27.419,22.799,24.276,288.7
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,2,1'32.017,92.017,18.721,26.469,22.658,24.169,318.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,3,1'32.249,92.249,18.728,26.817,22.43,24.274,326.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,4,1'31.689,91.689,18.708,26.326,22.398,24.257,326.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,5,1'31.808,91.808,18.771,26.345,22.504,24.188,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,6,1'31.845,91.845,18.68,26.436,22.424,24.305,331.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,7,1'31.987,91.987,18.777,26.28,22.41,24.52,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,8,1'32.270,92.27,18.803,26.623,22.489,24.355,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,9,1'32.089,92.089,18.817,26.47,22.409,24.393,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,10,1'31.897,91.897,18.728,26.336,22.428,24.405,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,11,1'32.397,92.397,18.776,26.395,22.644,24.582,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,12,1'32.635,92.635,18.816,26.559,22.697,24.563,321.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,13,1'32.542,92.542,18.835,26.448,22.659,24.6,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,14,1'32.455,92.455,18.866,26.529,22.575,24.485,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,15,1'32.535,92.535,18.878,26.493,22.559,24.605,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,16,1'32.989,92.989,18.925,26.731,22.663,24.67,327.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,17,1'32.811,92.811,18.915,26.628,22.58,24.688,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,18,1'33.500,93.5,18.906,26.869,22.841,24.884,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,19,1'33.148,93.148,18.989,26.624,22.767,24.768,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,20,1'33.577,93.577,19.021,26.69,22.871,24.995,327.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,21,1'34.348,94.348,19.268,27.05,22.944,25.086,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,22,1'33.688,93.688,19.144,26.849,22.834,24.861,324.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,23,1'34.078,94.078,19.142,26.982,22.922,25.032,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,24,1'34.886,94.886,19.317,27.159,23.108,25.302,322.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,25,1'36.966,96.966,19.865,28.014,23.311,25.776,318.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,43,Jack MILLER,Prima Pramac Yamaha MotoGP,Yamaha,Soft,Medium,26,1'37.996,97.996,20.391,28.221,23.485,25.899,311.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,1,1'37.007,97.007,21.644,27.692,22.925,24.746,274.8
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,2,1'33.090,93.09,18.95,26.839,22.728,24.573,312.1
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,3,1'32.969,92.969,18.91,26.913,22.582,24.564,315.7
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,4,1'33.505,93.505,19.007,27,22.824,24.674,322.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,5,1'33.075,93.075,18.935,27.005,22.607,24.528,319.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,6,1'33.612,93.612,18.932,27.346,22.609,24.725,326.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,7,1'32.943,92.943,19.008,26.724,22.686,24.525,320.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,8,1'32.942,92.942,18.93,26.772,22.609,24.631,322.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,9,1'32.888,92.888,18.975,26.684,22.466,24.763,324.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,10,1'32.800,92.8,18.874,26.603,22.596,24.727,326.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,11,1'33.671,93.671,18.974,26.63,23.477,24.59,324.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,12,1'32.856,92.856,18.958,26.641,22.595,24.662,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,13,1'33.039,93.039,19.057,26.74,22.645,24.597,320.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,14,1'33.226,93.226,19.018,26.812,22.658,24.738,320.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,15,1'33.835,93.835,19.495,26.9,22.695,24.745,322.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,16,1'33.274,93.274,18.982,26.791,22.756,24.745,321.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,17,1'33.313,93.313,19.126,26.784,22.71,24.693,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,18,1'33.622,93.622,19.075,26.926,22.755,24.866,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,19,1'34.082,94.082,19.071,26.849,23.168,24.994,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,20,1'34.010,94.01,19.191,27.077,22.906,24.836,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,21,1'34.147,94.147,19.264,26.996,22.96,24.927,319.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,22,1'34.328,94.328,19.166,27.308,22.938,24.916,320.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,23,1'34.717,94.717,19.357,27.224,23.08,25.056,319.5
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,24,1'35.109,95.109,19.494,27.42,23.077,25.118,310.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,25,1'35.209,95.209,19.598,27.455,23.002,25.154,305
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,51,Michele PIRRO,Ducati Lenovo Team,Ducati,Soft,Medium,26,1'36.599,96.599,20.073,27.827,23.271,25.428,292.6
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,1,1'33.621,93.621,20.486,26.466,22.506,24.163,313.9
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,2,1'31.573,91.573,18.687,26.21,22.477,24.199,315.7
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,3,1'31.021,91.021,18.568,26.089,22.212,24.152,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,4,1'30.935,90.935,18.57,26.014,22.255,24.096,327.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,5,1'30.995,90.995,18.57,26.11,22.242,24.073,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,6,1'31.074,91.074,18.624,26.125,22.24,24.085,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,7,1'31.017,91.017,18.599,26.102,22.183,24.133,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,8,1'31.101,91.101,18.592,26.141,22.248,24.12,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,9,1'31.295,91.295,18.603,26.16,22.309,24.223,331.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,10,1'31.579,91.579,18.69,26.283,22.319,24.287,330.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,11,1'31.715,91.715,18.551,26.216,22.437,24.511,328.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,12,1'31.500,91.5,18.567,26.218,22.342,24.373,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,13,1'31.727,91.727,18.739,26.218,22.355,24.415,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,14,1'31.724,91.724,18.616,26.228,22.522,24.358,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,15,1'31.611,91.611,18.641,26.223,22.358,24.389,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,16,1'31.810,91.81,18.647,26.307,22.482,24.374,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,17,1'31.986,91.986,18.664,26.388,22.435,24.499,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,18,1'31.847,91.847,18.641,26.348,22.392,24.466,335.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,19,1'32.320,92.32,18.755,26.407,22.525,24.633,336.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,20,1'32.120,92.12,18.765,26.297,22.527,24.531,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,21,1'32.582,92.582,18.852,26.452,22.689,24.589,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,36,Joan MIR,Honda HRC Castrol,Honda,Soft,Medium,22,1'41.450,101.45,18.973,26.589,26.619,29.269,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,1,1'33.529,93.529,20.263,26.399,22.51,24.357,309.4
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,2,1'31.507,91.507,18.694,26.183,22.498,24.132,322.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,3,1'31.080,91.08,18.502,26.162,22.248,24.168,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,4,1'31.298,91.298,18.539,26.36,22.294,24.105,325.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,5,1'31.213,91.213,18.616,26.153,22.307,24.137,323.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,6,1'31.293,91.293,18.565,26.161,22.382,24.185,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,7,1'31.345,91.345,18.574,26.251,22.299,24.221,329.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,8,1'31.685,91.685,18.555,26.285,22.253,24.592,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,9,1'31.220,91.22,18.605,26.122,22.276,24.217,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,10,1'31.294,91.294,18.516,26.211,22.266,24.301,332.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,11,1'31.559,91.559,18.52,26.202,22.4,24.437,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,12,1'31.300,91.3,18.505,26.214,22.241,24.34,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,13,1'31.551,91.551,18.487,26.231,22.321,24.512,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,14,1'31.681,91.681,18.527,26.372,22.38,24.402,331.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,15,1'31.741,91.741,18.561,26.456,22.33,24.394,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,16,1'31.807,91.807,18.611,26.306,22.403,24.487,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,17,1'31.894,91.894,18.563,26.379,22.391,24.561,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,18,1'32.097,92.097,18.676,26.462,22.403,24.556,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,19,1'32.442,92.442,18.667,26.488,22.464,24.823,333.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,20,1'32.584,92.584,18.776,26.54,22.575,24.693,331.2
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,21,1'33.043,93.043,18.793,26.948,22.691,24.611,334.3
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,73,Alex MARQUEZ,BK8 Gresini Racing MotoGP,Ducati,Soft,Medium,22,,,18.78,,,,
PT GRAND PRIX OF THAILAND,2026,RAC,Partly Cloudy,Dry,0.42,55,Chang International Circuit,4554,93,Marc MARQUEZ,Ducati Lenovo Team,Ducati,Soft,Medium,1,1'32.921,92.921,19.636,26.328,22.607,24.35,335.4
